Particle Number, Viscosity, Pressure, Trans Temp, Rot Temp
48, 628.54766, 14.8657, 1.0381, 0.9979
50, 208.28519, 14.1519, 1.0246, 1.0027
52, 171.17287, 13.5021, 1.0206, 1.0018
54, 332.58788, 13.5247, 1.0339, 0.9962
56, 521.12699, 13.1237, 1.0246, 0.9952
48, 174.09432, 14.313, 1.0285, 1.0015
50, 291.31162, 14.174, 1.0243, 0.9971
52, 294.59411, 13.6365, 1.0213, 1.0044
54, 236.19458, 13.1878, 1.0121, 1.0055
56, 572.23797, 13.4565, 1.039, 1.0013
48, 181.35197, 14.4183, 1.0261, 1.0066
50, 347.84251, 14.3289, 1.0283, 0.9941
52, 508.78938, 13.7231, 1.0286, 1.0029
54, 601.0999, 13.3741, 1.0291, 0.9933
56, 359.07307, 13.3019, 1.0189, 0.9938
48, 82.83238, 14.4215, 1.0237, 1.0073
50, 204.47807, 14.0889, 1.019, 1.0058
52, 329.60975, 13.6839, 1.0219, 1.0095
54, 334.49388, 13.2043, 1.026, 1.0038
56, 457.96495, 13.1791, 1.0332, 0.9914
48, 148.58555, 14.322, 1.0273, 1.0081
50, 236.38681, 13.9372, 1.0244, 1.0
52, 354.52332, 13.7348, 1.0161, 1.0094
54, 737.2739, 13.66, 1.0384, 1.0089
56, 580.1562, 13.4344, 1.0368, 1.0119
