Particle Number, Viscosity, Pressure, Trans Temp, Rot Temp
10, 87.05161, 18.4728, 1.0264, 0.9917
11, 61.90107, 18.1813, 1.0676, 1.009
12, 34.51581, 17.5678, 1.0162, 1.0094
13, 89.89236, 17.0044, 1.0281, 0.9977
14, 76.88833, 16.71, 1.0616, 1.007
20, 94.8033, 14.0415, 1.0726, 1.0046
21, 657.16201, 13.5321, 1.1027, 1.0043
22, 1804.23728, 13.4647, 1.0809, 1.0
23, 489.89353, 12.8603, 1.0911, 1.0035
24, 1853.84336, 12.6559, 1.0985, 1.0084
20, 260.19563, 14.1538, 1.0881, 1.0063
21, 394.11376, 13.4222, 1.0522, 0.9975
22, 1825.74585, 13.634, 1.1212, 1.0005
23, 1381.39219, 13.0234, 1.103, 1.0009
24, 75.83242, 12.5395, 1.0801, 1.0084
20, 225.71014, 13.7777, 1.0389, 1.0073
21, 337.8347, 13.6143, 1.0662, 1.0021
22, 886.15329, 13.3493, 1.0682, 1.0032
23, 1007.18156, 12.4652, 1.0858, 0.988
24, 611.09369, 12.4104, 1.0681, 1.0042
20, 450.53096, 14.0561, 1.0612, 1.0039
21, 1711.83329, 14.0412, 1.0973, 0.9925
22, 2270.18564, 13.398, 1.1002, 1.0045
