Particle Number, Viscosity, Pressure, Trans Temp, Rot Temp
0, 3.99962, 23.0658, 0.9997, 1.0016
2, 8.61742, 22.187, 1.0148, 1.0033
4, 15.40066, 21.3124, 1.0177, 0.998
6, 18.69277, 20.3489, 1.0127, 1.0005
8, 19.96945, 19.4369, 1.0104, 0.9952
15, 126.64911, 16.0936, 1.0447, 0.9913
16, 722.90502, 15.6891, 1.059, 0.9968
17, 577.55721, 15.3173, 1.0615, 1.0067
18, 266.91917, 14.641, 1.0637, 1.0146
19, 441.02361, 14.203, 1.0454, 1.0013
15, 70.01972, 16.1453, 1.0379, 0.9997
16, 393.6269, 15.8985, 1.059, 1.0077
17, 673.1269, 15.4137, 1.081, 0.9993
18, 812.31892, 15.0214, 1.0822, 0.9936
19, 874.34387, 14.1657, 1.0545, 0.9938
15, 259.03971, 16.4144, 1.0568, 1.0002
16, 342.6477, 15.7365, 1.0474, 0.9987
17, 431.64142, 15.2872, 1.0351, 0.999
